AttMatriz;Iteradores;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;;
mapeamento_espaco_amostral;1;1;3;16;10;11;5;1;14;14;19;8;11;17;1;2;11;14;1;8;2;9;14;12;19;17;11;2;14;9;15;19;16;6;1;15;7;13;16;20;8;5;20;15;16;14;2;13;18;6;9;16;10;5;6;8;4;10;18;19;2;;
mapeamento_espaco_amostral;2;18;9;10;17;8;5;20;4;13;13;1;1;16;15;7;9;14;14;5;17;15;17;2;2;16;13;5;5;2;8;20;19;8;6;14;6;16;16;9;6;4;1;4;20;5;17;3;8;13;4;17;4;20;6;5;3;5;13;14;16;;
mapeamento_espaco_amostral;3;3;20;1;2;10;16;19;6;8;16;10;15;14;14;16;1;5;5;12;14;13;8;5;5;14;4;15;4;1;14;3;19;10;13;19;1;12;15;10;2;9;11;16;2;9;20;10;7;9;15;5;4;8;19;20;6;2;3;11;4;;
mapeamento_espaco_amostral;4;19;16;11;10;14;14;9;10;10;15;11;6;13;6;15;11;19;5;9;12;16;19;14;17;11;5;3;18;6;14;1;19;6;18;6;20;11;3;9;15;9;3;16;2;9;7;6;16;7;7;2;12;10;5;3;20;18;10;8;17;;
mapeamento_espaco_amostral;5;3;3;14;17;12;14;20;1;19;4;20;11;6;15;12;17;17;14;15;13;7;11;14;7;18;9;19;6;20;3;9;17;20;7;11;11;17;19;14;5;19;12;3;5;18;4;4;17;13;13;17;14;8;18;14;3;1;14;13;10;;
mapeamento_espaco_amostral;6;17;3;17;5;8;12;14;2;20;17;9;1;3;20;18;14;17;5;15;12;5;5;1;9;9;19;1;11;8;18;16;13;7;13;14;13;6;1;20;5;13;12;8;3;9;3;12;11;10;18;2;8;3;6;17;19;17;20;17;16;;
mapeamento_espaco_amostral;7;4;3;8;12;20;5;1;1;18;18;19;11;4;10;17;19;12;11;10;16;7;4;11;8;17;20;1;7;10;18;17;6;15;17;9;15;9;11;11;2;9;16;6;7;4;16;13;13;7;4;4;10;11;4;19;9;1;4;12;20;;
mapeamento_espaco_amostral;8;2;10;3;5;9;8;20;18;7;9;17;20;7;12;12;3;11;10;15;2;5;4;8;8;6;4;18;5;18;16;20;6;6;11;15;11;10;8;18;9;1;19;20;12;20;9;12;17;9;1;11;3;12;20;14;5;12;17;6;7;;
mapeamento_espaco_amostral;9;14;17;2;13;13;10;3;15;1;9;11;3;13;9;1;5;7;13;8;11;16;2;16;1;4;10;17;7;8;18;16;6;17;15;18;18;9;4;12;11;8;15;20;5;3;5;17;17;9;18;13;1;16;10;20;8;15;4;18;7;;
mapeamento_espaco_amostral;10;20;12;20;7;18;6;10;4;18;15;1;2;16;4;1;5;14;4;14;7;6;7;1;20;5;14;5;19;2;16;6;14;8;4;15;6;11;1;6;10;19;20;12;18;7;18;1;4;7;5;11;17;5;11;4;4;13;18;10;6;;
mapeamento_espaco_amostral;11;16;3;8;2;3;1;4;16;7;6;17;5;3;11;6;6;6;3;11;3;20;17;19;14;7;5;14;4;4;14;3;2;1;3;4;5;17;18;6;8;10;5;14;14;1;16;5;1;18;5;15;4;2;18;13;2;12;19;19;18;;
mapeamento_espaco_amostral;12;5;9;14;5;6;20;1;8;10;3;14;5;6;3;12;14;15;15;16;6;8;20;4;4;3;4;17;2;6;13;12;8;20;8;10;3;6;11;12;18;7;20;1;18;5;19;6;20;5;19;3;8;11;1;9;7;6;12;17;19;;
mapeamento_espaco_amostral;13;1;18;5;2;5;18;9;11;12;10;16;1;6;4;18;12;17;20;11;14;13;14;1;6;4;9;20;5;3;9;4;3;7;9;14;10;7;13;8;16;10;9;13;12;2;9;10;13;13;10;20;5;4;11;9;20;20;9;17;14;;
mapeamento_espaco_amostral;14;8;14;3;9;19;12;19;15;14;14;1;16;6;18;3;16;3;10;16;11;1;11;13;1;6;9;4;19;19;16;9;10;2;2;13;19;1;15;9;11;9;2;6;8;5;8;18;4;10;2;2;20;6;8;4;13;20;4;12;10;;
mapeamento_espaco_amostral;15;20;13;2;19;3;16;18;11;9;20;3;16;16;20;4;12;6;19;16;9;2;10;9;15;13;16;14;13;6;12;20;14;5;15;1;12;8;17;4;5;14;19;13;7;15;7;16;10;3;3;5;17;18;6;16;18;14;16;15;5;;
mapeamento_espaco_amostral;16;19;12;6;6;16;2;16;11;4;17;16;12;16;6;18;18;7;17;10;13;18;18;18;11;19;6;16;16;16;4;20;8;6;14;16;20;17;13;11;3;11;8;8;5;7;20;20;3;9;17;12;18;19;19;6;7;20;1;2;4;;
mapeamento_espaco_amostral;17;3;3;10;16;4;16;17;11;5;13;5;12;7;1;15;13;11;19;15;18;13;10;3;15;1;1;4;3;11;5;7;2;19;2;10;4;10;8;12;7;10;4;6;20;1;10;18;5;11;7;18;16;7;16;14;11;12;8;7;20;;
mapeamento_espaco_amostral;18;19;19;12;13;9;1;16;10;6;10;13;19;12;16;11;2;8;6;9;18;19;14;1;7;1;11;19;4;16;16;7;8;14;4;10;13;4;6;14;20;10;20;7;11;10;17;12;18;14;8;14;2;3;9;10;11;12;12;10;7;;
mapeamento_espaco_amostral;19;2;9;16;19;11;19;6;20;3;10;3;16;5;1;12;6;10;15;3;15;14;15;11;10;5;11;10;9;12;7;2;2;8;13;4;17;2;5;7;14;18;8;16;3;7;2;6;15;19;8;3;2;13;19;6;2;7;6;10;2;;
mapeamento_espaco_amostral;20;7;14;14;5;4;9;18;16;12;5;11;15;1;7;13;1;1;16;17;15;12;5;13;11;2;12;6;3;16;18;2;7;10;5;1;14;2;6;7;17;4;16;12;8;7;13;7;3;10;10;10;17;16;20;20;10;12;2;18;1;;
mapeamento_espaco_amostral;21;10;5;2;15;17;16;11;6;13;7;18;13;19;2;7;14;7;15;4;18;19;20;6;19;13;2;10;1;5;9;17;20;12;6;19;5;3;5;13;18;16;13;7;9;18;2;2;15;3;12;19;1;2;7;1;11;13;19;2;19;;
mapeamento_espaco_amostral;22;17;11;6;2;4;4;8;18;1;18;17;16;1;2;10;2;15;7;18;4;19;5;3;17;10;1;18;7;20;17;16;5;12;16;12;17;3;13;6;6;9;2;20;16;8;12;8;10;10;16;4;13;5;13;8;1;11;13;10;16;;
mapeamento_espaco_amostral;23;4;17;15;14;20;3;12;14;11;2;4;19;20;17;9;15;17;11;5;2;7;9;11;11;13;3;2;1;5;18;1;2;10;17;8;7;8;17;4;3;3;5;13;16;14;7;9;12;2;3;7;14;9;9;11;9;9;16;18;2;;
mapeamento_espaco_amostral;24;9;18;8;4;2;12;1;12;11;19;4;15;14;15;10;5;17;1;7;14;2;18;2;11;19;15;14;2;11;16;12;15;6;15;8;6;10;20;17;18;17;20;11;6;20;10;15;9;13;16;3;2;10;2;10;15;5;9;8;20;;
mapeamento_espaco_amostral;25;1;14;14;17;11;9;10;2;2;10;18;5;18;12;13;7;6;6;20;11;14;9;1;9;6;17;18;16;20;8;18;10;7;19;13;9;3;11;13;11;19;10;18;1;5;17;10;12;4;20;8;1;6;4;14;11;9;4;4;14;;
mapeamento_espaco_amostral;26;11;20;15;2;5;19;20;20;17;10;3;15;12;19;2;1;12;11;19;19;18;3;1;18;17;20;11;1;1;19;2;9;9;13;3;11;2;5;15;16;7;18;16;7;16;20;5;3;19;13;11;7;6;6;9;15;13;18;9;10;;
mapeamento_espaco_amostral;27;4;8;19;18;1;16;10;11;15;9;10;5;7;10;18;10;8;17;11;2;7;4;19;7;3;3;11;2;12;9;18;12;20;7;3;18;2;20;16;3;11;20;17;10;7;11;18;6;14;6;10;13;18;13;13;4;13;10;10;13;;
mapeamento_espaco_amostral;28;15;13;11;5;7;8;4;14;20;10;6;18;20;1;13;11;13;3;7;8;8;8;14;12;13;17;3;16;11;20;9;5;18;17;6;11;16;10;16;7;7;5;2;1;2;14;5;18;4;11;8;19;11;11;18;6;20;17;4;10;;
mapeamento_espaco_amostral;29;7;5;19;9;15;12;5;18;4;7;5;11;2;17;13;6;17;10;1;5;9;18;17;2;12;20;1;11;13;17;4;13;18;3;14;1;19;18;6;17;17;1;16;8;13;5;7;3;3;4;12;14;8;18;20;8;1;5;14;16;;
mapeamento_espaco_amostral;30;10;2;1;16;2;14;17;11;7;20;13;7;3;5;13;14;13;13;3;17;4;7;12;5;16;5;8;6;20;18;19;19;5;16;19;6;20;4;9;14;14;12;5;19;10;12;9;12;6;4;20;2;1;10;3;20;12;9;1;18;;
mapeamento_espaco_amostral;31;15;15;19;5;8;10;14;9;11;9;20;11;19;12;11;4;16;18;14;20;1;18;16;2;17;12;13;12;13;11;14;12;1;8;15;10;19;19;1;10;9;20;2;19;5;19;15;17;1;19;8;6;1;15;4;3;5;3;7;2;;
mapeamento_espaco_amostral;32;10;10;16;1;5;16;18;14;7;18;14;10;3;16;13;14;17;14;18;20;4;18;11;2;3;7;14;6;19;12;20;3;13;3;14;17;3;7;15;4;4;14;2;7;8;14;6;5;19;20;8;12;15;20;9;19;3;1;17;6;;
mapeamento_espaco_amostral;33;6;7;3;4;11;19;6;12;1;16;10;20;4;20;1;17;14;15;3;18;3;8;12;13;9;8;4;11;5;13;16;2;18;6;16;11;16;2;19;9;18;4;12;4;12;11;4;1;13;1;12;8;14;12;1;19;16;20;2;14;;
mapeamento_espaco_amostral;34;8;14;2;4;10;16;2;19;6;13;17;3;10;7;13;12;1;13;3;8;18;5;13;1;20;9;6;3;19;2;3;12;10;1;18;9;16;3;13;15;12;9;1;16;14;9;18;20;18;20;1;17;16;6;12;18;15;19;6;12;;
mapeamento_espaco_amostral;35;18;17;10;1;11;2;13;14;1;4;2;13;14;11;18;6;6;18;17;4;19;1;2;20;19;9;8;9;20;4;16;12;4;18;3;2;13;16;7;10;4;15;12;16;15;20;8;16;4;6;2;18;11;8;2;11;3;20;16;17;;
mapeamento_espaco_amostral;36;1;13;10;8;13;8;17;16;14;20;17;13;18;5;5;6;20;6;8;8;12;14;16;18;8;12;8;19;2;9;19;8;18;15;15;9;13;2;11;14;1;15;11;6;1;18;6;1;5;4;3;13;17;17;11;5;2;2;2;14;;
mapeamento_espaco_amostral;37;20;8;4;11;14;5;10;8;18;20;13;10;12;9;2;14;12;8;7;16;11;4;16;15;10;15;14;11;20;14;6;20;10;20;20;1;8;2;15;5;7;3;4;14;4;17;20;3;19;12;18;14;11;18;5;9;18;5;6;20;;
mapeamento_espaco_amostral;38;19;2;14;4;17;10;12;15;12;6;17;4;17;19;12;11;1;18;8;9;10;1;4;14;12;14;18;16;6;14;7;7;10;6;18;11;3;2;4;7;13;19;4;20;16;16;4;1;20;3;11;18;12;4;8;20;2;15;16;11;;
mapeamento_espaco_amostral;39;1;3;4;1;3;11;17;1;5;17;9;11;16;20;16;3;1;15;20;12;20;2;10;16;9;2;17;6;12;15;8;2;5;17;2;1;8;16;10;1;11;16;12;2;6;11;19;16;19;20;15;10;5;13;1;13;18;20;5;8;;
mapeamento_espaco_amostral;40;4;15;10;18;13;13;5;11;20;7;10;4;18;15;7;1;1;17;10;6;20;9;16;12;10;20;7;3;9;1;20;20;3;9;18;20;16;13;19;11;19;12;4;7;8;18;5;14;17;2;11;14;1;19;11;1;15;11;19;12;;
mapeamento_espaco_amostral;41;15;3;2;15;11;20;10;15;17;5;7;8;8;10;1;10;17;20;20;7;17;2;14;4;10;19;12;16;16;1;8;8;13;19;15;3;6;1;1;9;3;8;12;15;4;3;10;8;7;3;9;12;4;14;18;1;3;10;4;8;;
mapeamento_espaco_amostral;42;14;15;1;7;7;5;7;6;6;3;12;1;9;3;15;18;2;3;7;5;2;2;13;15;17;15;20;10;9;1;19;1;2;11;16;18;14;11;1;5;2;2;6;13;6;9;17;6;19;7;9;6;20;10;3;9;13;11;4;16;;
